Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
NIC1121	UNKNOWN		UNKNOWN	73578892	72918494	13778820	11.7455	71557121	1671196	52656	17983	13568	10885	10718	9805	9898	10136	10768	9025	8077	7804	8344	9213	9906	7013259	5783632	4424121	3249446	2372131	1459625	989098	608777	392062	276495	
NIC1126	UNKNOWN		UNKNOWN	60905520	60576646	11061657	9.73835	59253575	1396046	43531	14904	10463	8627	8283	7246	7470	6890	7151	6286	5739	5458	5777	6440	6879	5932183	4900034	3757751	2752386	2008173	1239443	837632	518938	343198	264928	
NIC1132	UNKNOWN		UNKNOWN	19941128	18958780	2538293	10.7105	19459656	410948	12479	4378	3197	2569	2361	2045	2104	1993	2023	1933	1854	1759	2056	2208	2341	1624637	1343036	1017690	753471	572030	346145	263573	195254	163470	159826	
NIC1136	UNKNOWN		UNKNOWN	31293511	31003862	4851695	10.1571	30505155	678554	22281	7538	5356	4487	4137	3734	3602	3549	3631	2889	2710	2469	2605	3021	3130	2736269	2264920	1723236	1267802	942257	551320	388189	246455	162117	123822	
NIC1137	UNKNOWN		UNKNOWN	32923219	32658409	4856265	12.0728	32083012	705598	22578	7671	5738	4815	4609	4010	3884	3669	3823	3549	3516	3556	4040	4401	4659	2916321	2407062	1821841	1333349	990764	577233	400699	250588	157078	109857	
NIC114	UNKNOWN		UNKNOWN	54691921	54067785	12853291	10.9176	53209903	1241329	36179	11592	8614	6969	6700	6453	6185	5998	6346	5401	4883	4179	4424	4766	5159	4976371	3952068	2942169	2094660	1479156	905941	593461	357379	227193	155178	
NIC1140	UNKNOWN		UNKNOWN	37574917	37072323	5043320	12.3681	36598548	799414	25745	8886	6609	5657	5518	4878	5160	4859	4897	4573	4381	4665	5004	5498	5965	3453508	2881329	2212667	1635986	1228528	723662	509379	320382	205675	150470	
NIC1142	UNKNOWN		UNKNOWN	43186821	42858095	8230566	11.1687	41990602	1024706	31035	10288	7725	6234	6018	5470	5577	5689	6169	5094	4243	3983	4066	4164	4430	4180324	3358320	2536133	1830968	1294850	823854	538193	327752	212341	150467	
NIC1144	UNKNOWN		UNKNOWN	69669204	68628822	14000706	9.03639	67857491	1568967	48144	16733	12309	9860	9340	8141	8647	8442	9641	6750	5112	4784	5078	5531	5953	6713539	5530718	4223325	3087927	2257681	1389154	949065	592839	382180	271615	
NIC1145	UNKNOWN		UNKNOWN	67248053	66592886	16597003	9.35882	65428894	1573135	51150	16913	11951	9133	8522	7503	7331	7246	8028	6154	5139	4045	4081	4282	4546	6059172	4856720	3641847	2625900	1866036	1152212	766912	469435	309030	232690	
NIC1146	UNKNOWN		UNKNOWN	57030443	56292165	9597638	11.3105	55461058	1312194	42299	14881	10719	8590	8454	7888	8423	8195	9259	7107	5700	5491	5755	6387	6976	5514755	4543684	3477742	2554520	1875434	1170907	795629	499587	329188	247869	
NIC1147	UNKNOWN		UNKNOWN	28828547	28279340	4766041	9.65775	28056192	657542	20827	7271	5209	4404	4004	3612	3649	3683	4336	3255	2598	2252	2362	2634	2879	2778001	2284895	1757079	1294764	955244	611546	428015	274275	183547	134472	
NIC1149	UNKNOWN		UNKNOWN	65442478	65008066	12110921	10.6157	63600584	1571985	52125	17406	12382	10287	9301	8357	8642	8394	9365	7536	5925	5487	5484	5861	6057	6262257	5051252	3833661	2773870	1978341	1264070	830532	506419	337797	265614	
NIC1150	UNKNOWN		UNKNOWN	32958751	32445892	4570074	10.2295	32131622	711844	22728	8038	5872	4688	4551	3973	3985	3919	4157	3160	2675	2559	2845	3010	3325	2933812	2419343	1835488	1345787	999706	590621	415966	260304	165281	116670	
NIC1151	UNKNOWN		UNKNOWN	53467960	51730181	11721285	8.87334	52057697	1233393	37844	12236	8683	6815	6126	5365	5443	5337	6436	4529	3305	2669	2713	2998	2983	4759794	3763492	2784983	1982774	1408155	870919	588521	363580	230490	154331	
