Strain	LENGTH_ESTIMATE
BRC20391	13.7246
BRC20400	11.6623
BRC20464	8.33148
BRC20548	8.53751
ECA1299	9.96463
ECA1300	9.34982
ECA1301	8.95815
ECA1302	8.40397
ECA1303	10.1344
ECA1304	9.02885
ECA1305	7.82616
ECA1306	4.69117
ECA1307	9.22062
ECA1309	5.21776
ECA1310	5.15593
ECA1311	7.16951
ECA1312	6.32959
ECA1313	7.62541
ECA1401	12.8988
ECA1403	9.9644
ECA1405	10.9685
ECA1445	8.49995
ECA1447	8.27368
ECA1449	10.1218
ECA1451	9.82516
ECA1453	4.52206
ECA1481	8.68428
ECA1518	5.7855
ECA1579	6.01948
ECA1581	6.32235
ECA1583	6.0348
ECA1585	6.03728
ECA1599	6.28561
ECA1603	4.45264
ECA2087	7.91252
ECA2898	5.43416
ECA2899	5.02234
ECA2900	5.26493
ECA2909	12.1377
ECA2910	5.10024
ECA2920	1.29761
ECA2954	24.5862
ECA2955	21.4903
ECA2976	12.9905
ECA3053	9.47239
ECA788	11.4082
ECA789	14.7736
ECA790	12.1945
ECA791	11.0708
ECA792	11.7159
ECA793	12.8935
ECA794	11.5145
ECA796	8.82316
ECA797	8.12114
ECA798	8.37506
ECA799	10.1601
ECA800	7.16335
ECA801	8.58232
ECA802	6.99481
ECA803	6.59654
ECA804	6.98584
ECA805	4.78927
ECA806	9.78385
EG5889	9.16724
EG6180	12.2548
HPT25	11.4351
HPT33	6.44924
HPT39	9.3018
HPT56	6.9299
JU1373	11.4313
JU1374	9.92867
JU1428	10.9468
JU1630	12.9201
JU1631	14.0893
JU1632	9.57376
JU1633	11.4841
JU1634	12.9766
JU1635	15.3468
JU1636	11.7351
JU1639	10.8658
JU1640	8.99488
JU1641	10.5452
JU1800	10.713
JU1818	15.0063
JU1819	15.7018
JU1821	6.97321
JU1835	12.1277
JU1836	10.9628
JU1838	15.675
JU1845	11.5236
JU1846	9.0084
JU1847	15.0018
JU1848	10.4474
JU1849	14.5974
JU1850	14.0545
JU1851	11.2634
JU1870	14.0435
JU1871	12.9763
JU1975	8.67851
JU1976	10.8765
JU2505	14.1614
JU2750	11.732
JU2752	11.2144
JU3170	9.46417
NIC1000	12.6685
NIC1004	11.8233
NIC1005	8.93455
NIC1012	9.14228
NIC1016	10.9113
NIC1028	7.82295
NIC1033	11.0578
NIC1038	13.1484
NIC105	12.5057
NIC1112	5.92288
NIC1116	10.0261
NIC1121	11.7455
NIC1126	9.73835
NIC1132	10.7105
NIC1136	10.1571
NIC1137	12.0728
NIC114	10.9176
NIC1140	12.3681
NIC1142	11.1687
NIC1144	9.03639
NIC1145	9.35882
NIC1146	11.3105
NIC1147	9.65775
NIC1149	10.6157
NIC1150	10.2295
NIC1151	8.87334
NIC1152	7.89666
NIC1153	9.79232
NIC1155	9.6296
NIC1156	9.15429
NIC1157	11.4613
NIC1160	9.53811
NIC1161	11.4513
NIC1163	9.39364
NIC1164	11.5071
NIC1165	11.5791
NIC1167	7.4502
NIC1168	9.56035
NIC1169	10.3168
NIC1170	7.80196
NIC1175	13.7321
NIC1176	8.82762
NIC1177	7.8662
NIC1179	14.413
NIC1180	14.3852
NIC1181	13.0332
NIC1188	14.3008
NIC1192	12.1279
NIC1193	9.68888
NIC122	10.2528
NIC124	9.5494
NIC125	10.5246
NIC1252	11.3047
NIC1254	10.3154
NIC1257	10.2391
NIC1268	8.22394
NIC1270	11.0682
NIC1272	10.7945
NIC1275	11.298
NIC1276	12.6007
NIC1277	9.86998
NIC1278	9.53475
NIC129	13.3834
NIC1290	9.34883
NIC1293	9.20797
NIC1300	9.4074
NIC1301	11.7924
NIC1305	9.79312
NIC1307	9.6922
NIC1309	9.1625
NIC1313	9.0688
NIC1316	9.11195
NIC1317	10.7164
NIC1321	11.1877
NIC1323	12.5557
NIC1328	8.72639
NIC1337	10.8187
NIC1338	10.7782
NIC1341	11.1246
NIC1343	6.61356
NIC1344	10.7003
NIC1354	11.6431
NIC1355	10.4487
NIC1359	12.1286
NIC1363	11.4893
NIC1372	10.3253
NIC1376	11.3882
NIC1378	9.74212
NIC1381	12.365
NIC1382	11.0815
NIC1383	11.7427
NIC1384	14.2846
NIC1386	12.4235
NIC1387	8.75
NIC1389	12.0286
NIC1391	7.85026
NIC1392	9.19713
NIC1393	11.7561
NIC1395	14.129
NIC1400	9.9291
NIC1405	9.51968
NIC1408	11.2828
NIC1410	9.0829
NIC1411	10.6327
NIC1415	11.3069
NIC1419	10.1562
NIC1420	12.144
NIC1422	10.2099
NIC1425	10.9754
NIC1430	10.2212
NIC1432	9.35589
NIC1433	11.5213
NIC1438	8.12061
NIC1453	11.6723
NIC1470	11.3678
NIC1476	13.6638
NIC1477	11.4412
NIC1478	11.8183
NIC1514	9.90132
NIC1526	8.4424
NIC1531	10.3264
NIC1534	8.15819
NIC1541	7.07211
NIC1542	8.50906
NIC1543	8.42553
NIC1544	8.65602
NIC1545	8.08066
NIC1546	11.7376
NIC1547	7.36586
NIC1548	6.85695
NIC1549	8.97406
NIC1550	10.547
NIC1551	8.6773
NIC1553	9.39708
NIC1555	13.8633
NIC1556	7.78671
NIC1557	7.47924
NIC1559	8.57409
NIC1560	8.32355
NIC1561	10.1941
NIC1563	10.4612
NIC1564	9.63012
NIC1565	9.80587
NIC1583	8.00294
NIC1584	8.73131
NIC1585	8.92236
NIC1586	9.65897
NIC1587	8.72061
NIC1588	7.05119
NIC1592	5.21714
NIC1594	6.64059
NIC1596	9.86831
NIC1603	8.28461
NIC1644	11.281
NIC1646	9.52963
NIC1647	10.285
NIC1648	7.65468
NIC1649	10.2072
NIC1650	9.75417
NIC1651	7.93347
NIC1653	9.01067
NIC1656	11.4847
NIC1657	12.7994
NIC1658	7.41854
NIC1679	9.14359
NIC1694	7.57318
NIC1846	11.4205
NIC1851	11.8864
NIC1855	12.6533
NIC1856	12.0406
NIC1862	8.89748
NIC1877	12.2673
NIC1879	9.19111
NIC1881	11.811
NIC1886	10.5052
NIC1911	9.19818
NIC1912	10.8579
NIC1913	10.1762
NIC1914	13.9978
NIC1915	13.7933
NIC1916	12.939
NIC1917	10.0764
NIC1918	11.2221
NIC1919	10.8222
NIC192	12.1893
NIC1927	10.3655
NIC1928	12.4526
NIC1929	15.499
NIC193	11.0831
NIC1939	14.0332
NIC1941	11.2898
NIC1950	12.8689
NIC1962	12.5383
NIC1976	11.7107
NIC203	16.1589
NIC2355	10.4803
NIC2357	9.41439
NIC2360	10.3356
NIC2361	9.68024
NIC2362	11.7425
NIC2363	4.30632
NIC2364	8.83623
NIC2365	10.2314
