Strain	LENGTH_ESTIMATE
JU3281	5.87974
JU3319	5.6148
JU3321	6.91496
JU3326	6.01951
JU3327	3.68085
JU3416	2.10648
JU356	4.99489
JU4042	0.988202
JU4051	1.99112
JU4058	2.20971
JU4060	2.61675
JU4062	2.37424
JU4064	6.02516
JU4080	2.75231
JU4084	3.31317
JU4097	5.40488
JU725	2.37403
MY2716	2.98886
MY539	4.99769
MY681	3.9006
NIC1050	3.15945
NIC1052	2.86238
NIC1054	5.35903
NIC1055	2.3706
NIC1057	5.08905
NIC1058	1.96853
NIC1059	7.00831
NIC1060	2.70757
NIC1062	5.39934
NIC1069	3.17155
NIC1103	5.39694
NIC1104	7.55704
NIC1106	2.31163
NIC1117	2.70038
NIC1123	8.69242
NIC1124	5.66136
NIC1135	6.84869
NIC1138	1.97293
NIC1141	2.70811
NIC115	5.38861
NIC117	3.25748
NIC1183	6.28089
NIC119	4.96177
NIC1190	3.27942
NIC1202	5.61115
NIC1204	2.26984
NIC1205	4.26829
NIC1218	3.0608
NIC1220	2.78402
NIC1221	2.88341
NIC123	6.01013
NIC1267	4.05632
NIC1283	7.22562
NIC1288	8.7484
NIC1292	5.87854
NIC1302	3.44416
NIC1304	9.33075
NIC1308	3.64588
NIC1407	10.6411
NIC1421	4.80935
NIC1423	7.83362
NIC1442	2.61816
NIC1491	2.8648
NIC1525	5.01654
NIC1528	5.32135
NIC1529	3.71805
NIC1533	1.83558
NIC1535	3.04866
NIC1539	3.55249
NIC1540	1.40027
NIC1562	6.81925
NIC1589	1.48673
NIC1590	3.61797
NIC1591	2.57058
NIC1593	6.65107
NIC1595	2.78303
NIC1598	3.57441
NIC1602	4.11783
NIC1607	3.99885
NIC1628	2.99142
NIC1630	2.20518
NIC1631	1.67847
NIC1632	3.01583
NIC1633	2.88572
NIC1635	2.94901
NIC1645	2.70882
NIC1660	3.56811
NIC1661	3.36861
NIC1662	1.68004
NIC1663	2.2981
NIC1664	4.13835
NIC1665	1.42856
NIC1666	4.9366
NIC1667	1.87344
NIC1681	3.65939
NIC1688	4.69267
NIC1692	2.00611
NIC1693	6.35281
NIC17	3.63953
NIC174	5.06692
NIC187	3.71583
NIC188	4.55332
NIC19	2.56426
NIC191	6.45917
NIC20	3.329
NIC21	3.14334
NIC22	6.50098
NIC2369	6.90417
NIC248	1.09019
NIC250	3.07256
NIC2527	2.10071
NIC309	3.71611
NIC325	8.05814
NIC327	4.3521
NIC329	3.31113
NIC330	8.52622
NIC331	3.65831
NIC332	3.1674
NIC333	2.73435
NIC343	4.05539
NIC392	4.16669
NIC400	6.97669
NIC402	0.994896
NIC419	8.2748
NIC504	4.15701
NIC505	3.29101
NIC518	4.3045
NIC519	5.79376
NIC532	2.73243
NIC541	8.83977
NIC549	4.82764
NIC552	5.68397
NIC555	4.73806
NIC561	2.95181
NIC574	2.56056
NIC578	3.56587
NIC583	2.84691
NIC590	11.2212
NIC593	2.50996
NIC60	5.6168
NIC61	4.23253
NIC62	7.42252
NIC67	3.72888
NIC758	3.68242
NIC777	5.10349
NIC779	2.00999
NIC790	4.91102
NIC791	1.34707
NIC792	4.19664
NIC793	1.85163
NIC795	4.73605
NIC796	3.73431
NIC802	4.11836
NIC803	5.14893
NIC805	4.06376
NIC811	3.44398
NIC814	3.65192
NIC815	4.5796
NIC816	4.00238
NIC819	10.1824
NIC821	5.10537
NIC822	2.14487
NIC824	1.43572
NIC825	3.83251
NIC827	3.3456
NIC828	3.36245
NIC863	2.51038
NIC864	4.12546
NIC865	1.86999
NIC871	3.77213
NIC883	3.15294
NIC889	3.06028
NIC893	5.17799
NIC897	2.53252
NIC899	2.14721
NIC901	2.58629
NIC911	4.08025
NIC96	2.65347
NIC984	3.82862
NIC985	4.49287
PB800	2.6065
PB857	3.01688
PE887	2.50861
QG1005	6.71473
QG1007	5.81135
QG1111	5.06663
QG1126	4.42476
QG1141	9.01707
QG1155	4.5061
QG130	5.5527
QG132	7.26496
QG133	1.67359
QG2641	5.07666
QG2648	11.673
QG2659	6.28156
QG2663	5.53488
QG2665	6.09843
QG2683	7.19497
QG2736	2.79549
QG2814	5.1237
QG2820	7.36445
QG2848	5.48125
QG2849	UNKNOWN
QG2880	4.17955
QG2881	5.85266
QG2883	6.8439
QG2884	6.90469
QG2891	2.19754
QG2892	9.26015
QG2893	1.98068
QG2895	6.1491
QG2902	8.52528
QG2903	6.40472
QG2906	6.07384
QG2908	1.95644
QG2910	2.98377
QG2919	2.14427
QG2923	4.62787
QG2925	5.45086
QG2964	4.12577
QG2966	7.67119
QG2969	3.79031
QG2972	8.7626
QG2996	6.71798
QG3004	2.80002
QG3006	6.32273
QG3019	4.70429
QG3025	4.53976
QG3030	9.06205
QG3032	3.92274
QG3034	7.96956
QG3041	8.6728
QG3053	2.9827
QG3056	6.89087
QG3057	4.11718
QG3058	3.70426
QG3527	7.08259
QG3661	6.9197
QG3783	4.45774
QG3801	1.66783
QG3815	2.2959
QG3816	1.824
QG3823	9.8789
QG3825	4.66879
QG3826	3.17864
QG3837	5.85909
QG3851	2.00787
