Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
DF5100	UNKNOWN		UNKNOWN	28760350	28695430	4194239	4.1451	27819070	859661	45203	8765	4303	2484	1903	1832	1862	2040	2332	1486	494	512	546	575	592	2461477	2082777	1622440	1208799	901329	531658	369573	233938	140078	83666	
ECA1129	UNKNOWN		UNKNOWN	34960796	34882571	4644136	2.76679	33871202	1009068	49313	8906	3607	2025	1394	1169	1240	1078	1449	1082	733	770	784	916	670	2858750	2441326	1914897	1456539	1095934	634528	453873	286848	176179	107284	
ECA1143	UNKNOWN		UNKNOWN	40695641	40478486	4935151	4.91679	39401793	1179198	55842	10740	4749	3223	2770	2621	2617	2544	2823	2400	1921	1819	1795	1971	1607	3602382	3064353	2410955	1825812	1361849	815670	563491	355452	216185	128692	
ECA1146	UNKNOWN		UNKNOWN	59007289	55924281	8276296	3.1998	57143243	1709153	80916	14774	6301	4082	2985	2827	2814	2767	3135	2509	2233	2066	2280	2391	2101	5190495	4480422	3606522	2833882	2257401	1543150	1228586	889264	596559	367553	
ECA1147	UNKNOWN		UNKNOWN	22686939	22258665	4372439	4.12909	21917135	693546	35207	6218	2676	1633	1095	900	986	1014	1039	905	929	1014	1054	1297	1251	1933284	1628524	1286817	984372	745011	472905	340636	227044	143405	84610	
ECA1149	UNKNOWN		UNKNOWN	48726674	48612176	7420564	4.897	47230581	1360913	66405	12094	4956	4634	2688	2218	2536	2606	2984	2415	1983	2100	2183	2407	2011	3937010	3346384	2604475	1961962	1474680	842614	597969	376843	231510	140926	
ECA1160	UNKNOWN		UNKNOWN	38318602	38208335	6843583	4.67969	37014879	1190811	58373	10015	4531	2849	2585	2355	2494	3168	4422	2639	1214	1136	1257	1265	1143	3679444	3096404	2459909	1857300	1324762	857057	541840	328652	196146	106254	
ECA1164	UNKNOWN		UNKNOWN	52804571	51292718	6605408	3.64302	51014041	1623475	80876	14216	5964	3381	2493	2419	2364	2353	2651	2163	2028	2066	2150	2356	2379	4668398	3944663	3125360	2397948	1828549	1218093	892760	611955	396806	236008	
ECA1170	UNKNOWN		UNKNOWN	22192646	21971702	4182767	3.76199	21463426	666626	32960	5510	2391	1299	1084	973	923	885	1343	844	666	682	797	865	878	1986224	1668123	1306020	974012	707691	431819	288586	177969	105842	60590	
ECA1174	UNKNOWN		UNKNOWN	40064108	39750961	6736379	3.7122	38680135	1263997	66034	11636	5123	2985	2122	1826	1866	1979	3132	1921	1098	1095	1078	1238	1198	3640243	3039165	2398084	1797032	1293153	849396	565410	354524	213430	119190	
ECA1383	UNKNOWN		UNKNOWN	56104254	55566426	10104522	3.56698	54162221	1771728	100967	18092	7663	3738	2715	1766	1604	1607	2212	1602	1431	1908	2475	3931	2225	4960873	4143304	3225428	2392960	1744352	1073030	735093	464633	282825	166665	
ECA1411	UNKNOWN		UNKNOWN	38072470	37930159	6002044	7.47441	36750452	1187871	62367	11449	5418	3978	2907	2570	2947	3416	5094	3052	2151	2212	2485	2702	1589	3299346	2732030	2120957	1568133	1135946	691510	462917	288697	177813	102803	
ECA1423	UNKNOWN		UNKNOWN	35097381	34699724	5705412	4.44357	33902385	1084312	55293	9699	4430	4166	2049	1901	1691	1677	2446	1812	1138	1273	1266	1300	1077	3054632	2527293	1954451	1446514	1039681	657628	447718	286190	176764	101111	
ECA1429	UNKNOWN		UNKNOWN	34304040	34137832	5842794	6.04834	33139276	1050090	53339	9243	4359	2605	2351	1962	2032	2345	3832	2531	1420	1437	1571	1663	1386	2992433	2478919	1913628	1401741	1000261	614697	413127	256777	157271	89210	
ECA1431	UNKNOWN		UNKNOWN	33796366	33575784	6560331	3.4665	32657686	1044053	54064	9725	3907	2216	1641	1195	1263	1427	2117	1470	801	812	842	870	724	2982691	2464556	1907447	1401589	986948	621831	415817	258430	156169	87745	
ECA1437	UNKNOWN		UNKNOWN	34362381	33767641	5767121	2.68421	33134113	1129761	61903	10924	4622	2490	1701	1401	1136	966	1098	1121	798	858	960	1382	798	3001424	2503620	2001773	1535327	1142597	754169	528054	348697	215453	118508	
ECA1439	UNKNOWN		UNKNOWN	45938127	20052336	3355386	1.03149	44913138	966410	39258	6489	2484	1206	790	540	572	527	668	461	318	373	366	436	325	1778183	1529271	1285052	1108172	1068859	1083267	1383754	1819264	2199205	2427543	
ECA1443	UNKNOWN		UNKNOWN	45346195	43643129	7285662	2.26518	43823930	1401796	75392	12321	5031	2850	2066	1648	1324	1181	1458	1117	786	791	866	970	745	3898329	3231571	2498661	1863877	1379623	946668	734134	536600	367204	224687	
ECA1471	UNKNOWN		UNKNOWN	30708023	30597343	5041191	3.55622	29679068	946136	46566	8007	3711	2969	1588	1306	1232	1229	1773	1214	915	979	812	963	692	2685972	2232608	1745587	1302780	934666	578264	379987	235143	142826	80053	
ECA1489	UNKNOWN		UNKNOWN	52001825	46295921	8138508	2.81654	50294725	1572181	80119	14618	6737	3318	2087	1763	1540	1651	1981	1422	1454	1418	1374	1520	1015	4040867	3385876	2717609	2108221	1580971	1020683	717565	528257	446222	464104	
ECA1503	UNKNOWN		UNKNOWN	27939766	24965894	3900395	1.92803	27006042	859439	47547	8748	3726	1746	1028	759	582	589	682	511	442	475	518	520	449	2185653	1837587	1465119	1127432	842082	545550	388668	285035	236460	243818	
ECA1507	UNKNOWN		UNKNOWN	32072564	28440851	5143748	2.78186	31032106	956791	50801	8755	3827	2552	1354	1008	949	793	854	705	812	912	858	1004	644	2487051	2074898	1636871	1229948	904451	581378	424452	316979	271005	288022	
ECA1509	UNKNOWN		UNKNOWN	39478004	34448323	5931211	3.49052	38195188	1178429	62633	11049	4562	2490	1873	1343	1435	1638	2576	1618	668	716	866	931	636	2955434	2454100	1922318	1435080	1046658	676695	485662	365791	326006	370670	
ECA1517	UNKNOWN		UNKNOWN	35770554	32705294	5747980	2.68894	34581603	1097873	56194	9774	3993	2335	1502	1012	957	858	1007	928	868	846	1003	1017	694	2801537	2321130	1822419	1379029	1007404	646967	443994	316190	257992	258637	
ECA1521	UNKNOWN		UNKNOWN	33362475	28521256	4485793	2.00608	32282437	995069	55693	9822	3873	2090	1227	969	769	887	1166	710	421	370	356	393	307	2502088	2098038	1663044	1259756	928260	603485	441724	342766	312806	360027	
ECA1555	UNKNOWN		UNKNOWN	41683154	41571184	6655760	3.83815	40272151	1290646	66102	11936	5402	3073	2140	1776	1835	1810	2858	1902	1131	1252	1132	1182	1001	3665859	3032680	2350815	1739706	1245732	756887	492402	303043	182671	101832	
ECA1559	UNKNOWN		UNKNOWN	63126236	62633745	10294449	2.18537	61057337	1906622	100185	16990	6794	3753	2264	1834	1390	1276	1753	1301	1032	1023	1186	1421	1688	5456807	4584099	3559840	2637641	1919296	1160429	807318	510445	310136	183597	
ECA1563	UNKNOWN		UNKNOWN	49318574	49205409	7548899	4.74761	47720745	1462973	70433	13010	6604	3617	2959	2605	2746	2725	3489	2539	2292	1842	1958	2178	1581	4299492	3624929	2815221	2094396	1529804	912608	621733	384824	232734	137177	
ECA1571	UNKNOWN		UNKNOWN	57650381	57399717	11468875	2.66684	55658756	1829299	96192	17833	6815	3977	2313	1894	1873	1923	2654	1648	1284	1138	1294	1424	1409	4913204	4151141	3286408	2510345	1865558	1136797	772308	482821	291948	164998	
ECA1587	UNKNOWN		UNKNOWN	27889353	27828766	6119737	3.9461	27008400	808312	37606	6741	3245	1871	1636	1173	1233	1035	1550	1238	907	943	989	1022	813	2393043	2005024	1552180	1156444	844774	492669	333280	203885	123787	69375	
ECA1605	UNKNOWN		UNKNOWN	29919526	29757454	6107732	2.02629	28903811	934562	49829	8627	3342	1894	1076	963	706	794	882	639	549	595	699	681	782	2626784	2263476	1816859	1426274	1088627	652870	450509	278704	169519	96864	
ECA1609	UNKNOWN		UNKNOWN	60668292	60440135	10320852	4.31626	58673497	1822109	90024	16619	7760	5135	3386	3381	2912	2719	3020	2561	2049	2068	2199	2208	2187	5191247	4303024	3314192	2443689	1761695	1076087	714134	440663	262603	148518	
ECA161	UNKNOWN		UNKNOWN	26762301	26655770	5235218	4.24285	25869143	814727	40909	7276	3140	1834	1493	1230	1305	1416	1846	1332	920	874	1011	1041	995	2350539	1982672	1552635	1159943	850240	515393	350327	218290	131355	76375	
ECA1611	UNKNOWN		UNKNOWN	30424918	30335905	7024613	4.09986	29436885	904163	44690	7703	3194	1998	1487	1243	1263	1385	1507	1188	1105	1036	1196	1151	987	2612271	2174232	1679721	1242456	896273	527735	356879	219551	130936	76981	
ECA1615	UNKNOWN		UNKNOWN	34767258	34685705	7424866	3.70133	33620189	1051566	53541	9615	4027	2286	1612	1311	1356	1517	1985	1447	957	911	964	1065	916	2961402	2467208	1911515	1411526	1024920	600540	409945	252728	149390	86146	
ECA162	UNKNOWN		UNKNOWN	29584419	29359930	5449286	3.72945	28600457	900712	47805	8709	4133	2776	1774	1675	1473	1543	1942	1210	862	834	833	879	564	2683136	2259023	1769849	1316595	955076	578435	389058	239365	143749	82147	
ECA1621	UNKNOWN		UNKNOWN	32447866	32371090	7062731	4.32703	31391302	970798	48239	8493	3562	1903	1692	1709	1677	1831	2951	1476	766	766	777	816	656	2692455	2249974	1741479	1289758	947254	554582	377088	232066	139351	80820	
ECA163	UNKNOWN		UNKNOWN	30826378	30033553	5431540	6.42224	29794182	897833	48939	9227	4011	2554	2172	1787	1831	1908	2322	2222	2188	2388	2700	2927	3144	2794467	2433793	1937352	1467925	1111113	653877	457892	292133	184779	118142	
ECA1637	UNKNOWN		UNKNOWN	43981604	43756848	10182129	5.73765	42545282	1308511	64132	12889	5359	3308	2594	2707	3012	3662	4850	2591	1531	1456	1512	1759	1295	3768334	3133613	2412423	1782186	1290296	766107	519103	321223	194385	112730	
ECA1657	UNKNOWN		UNKNOWN	45446758	45258078	2961326	9.52145	43893460	1333039	75869	17242	10064	7789	7734	7258	6614	6574	7050	6353	5253	4733	5085	5611	4235	4349650	3804720	3091383	2383768	1823311	1164276	822206	537719	343948	205650	
ECA1701	UNKNOWN		UNKNOWN	122253698	59504233	4299128	2.39716	119745472	2324231	112709	18079	8740	5220	3898	3279	3128	2830	3388	2414	1639	1642	1706	1888	1342	5319145	4710909	3921046	3197681	2680199	2015876	1872792	1860947	2232665	3281583	
ECA175	UNKNOWN		UNKNOWN	33726234	33486035	6128219	3.39136	32568320	1059696	57376	9997	4318	2615	1971	1298	1256	1148	1275	1302	1265	1298	1337	1443	960	3126124	2642326	2071751	1546555	1113154	682709	460715	282768	171089	99229	
ECA176	UNKNOWN		UNKNOWN	50424809	49775567	7728914	9.06328	48647602	1539327	78914	14541	6722	5815	4429	4686	4926	5124	5795	4794	4373	4629	4861	5260	5486	4589163	3878680	3029698	2267897	1648678	1018233	685910	423158	253410	146236	
ECA177	UNKNOWN		UNKNOWN	40439375	39962735	8361220	3.39065	39084923	1245544	64372	11076	5038	2642	2173	1555	1654	1468	1393	1443	1425	1283	1328	1487	973	3544265	2973569	2316521	1722234	1242571	757394	522282	325697	197217	115149	
ECA180	UNKNOWN		UNKNOWN	23376506	23240123	4799477	7.33007	22591788	707600	35864	6885	3194	2175	2204	1743	2026	2460	3502	2101	1300	1241	1302	1317	856	2074353	1743949	1359080	1008076	732838	445797	304009	189020	115571	67561	
ECA182	UNKNOWN		UNKNOWN	21849211	21692663	4060740	2.87333	21137272	655369	32907	6067	2189	1188	1034	754	626	722	843	952	540	433	450	574	575	1882244	1582820	1242159	928619	681162	408644	279912	173668	102929	58774	
ECA183	UNKNOWN		UNKNOWN	37872260	37797806	4174174	2.38187	36599123	1176239	59537	11103	4240	2575	1663	1320	1395	1140	1235	971	830	854	816	902	718	3328469	2834820	2249723	1720797	1284614	784434	535109	334608	204379	118600	
ECA185	UNKNOWN		UNKNOWN	26336533	26284612	3289103	2.33033	25450079	818900	43185	7804	3288	1844	1237	960	847	720	747	650	605	519	497	552	399	2268531	1924422	1507163	1137728	839062	510291	350901	219289	132880	78036	
ECA186	UNKNOWN		UNKNOWN	29099899	29046146	3218475	2.82836	28137446	885116	47831	8484	3497	2271	1474	1336	1312	1304	1452	865	526	469	416	459	522	2486142	2116969	1658735	1249143	930104	552178	382862	241663	145776	86868	
ECA2083	UNKNOWN		UNKNOWN	44288004	43678198	2634204	9.89076	42622525	1417751	91516	22970	14351	11789	9820	8809	8685	8314	11905	7421	4067	3912	3935	4032	3167	4092511	3616958	3014531	2398623	1891152	1253127	904233	617348	400314	241682	
ECA2093	UNKNOWN		UNKNOWN	40528025	40019258	7873214	2.54708	39195268	1228248	61752	11087	4640	2591	1505	1128	1225	1150	1261	1028	866	933	869	938	959	3486824	2901021	2252912	1673351	1221161	747129	520869	332162	201809	116045	
ECA2115	UNKNOWN		UNKNOWN	55802999	54978990	10367289	3.62267	53992884	1661325	85904	15963	6745	3887	2761	2565	2574	3327	3874	2216	1216	1208	1237	1312	1198	4890479	4102455	3194218	2371767	1721956	1047568	719934	454202	284176	182399	
ECA2299	UNKNOWN		UNKNOWN	38434590	38159473	2674229	3.33762	37094061	1194529	80228	19472	7828	4437	3240	2352	2000	1772	2153	1672	1418	1572	1531	1584	1289	3441229	3021878	2467408	1937785	1535714	979555	707082	470658	301131	190491	
ECA2373	UNKNOWN		UNKNOWN	96944743	96539274	20388748	7.34849	93706439	2922010	152507	29218	13865	9654	9873	8348	9786	10404	15016	10097	5074	4227	4502	4503	3043	8706245	7312387	5691364	4230928	3090787	1849600	1265317	790968	489813	291367	
ECA2385	UNKNOWN		UNKNOWN	98623777	96335925	17635896	3.41861	95364026	2954076	161362	29747	13171	7320	5955	4916	4149	4105	4334	4493	5138	4936	5152	5696	3812	10114851	8878650	7185101	5500803	4063013	2553860	1761661	1142414	747087	475435	
ECA2425	UNKNOWN		UNKNOWN	67068239	66751527	13231976	4.45565	64816759	2032592	102839	18777	8789	5662	4098	3827	3618	3516	3996	3392	3058	3218	3313	3574	3161	6312377	5366405	4251068	3207268	2327390	1439458	960117	597249	359322	204209	
ECA2617	UNKNOWN		UNKNOWN	55803591	55272074	11013116	2.73115	53959260	1688728	90537	17905	7307	3943	2204	1666	1649	1501	1530	1448	1898	1585	1748	1573	1402	4821757	4079278	3202605	2399709	1778240	1057534	721970	455975	274253	165897	
ECA2618	UNKNOWN		UNKNOWN	45351312	44906357	6238122	2.84148	43942979	1288730	66365	13524	6081	2690	1551	1301	1084	920	1081	1027	1162	1085	1305	1527	1550	3608791	3045245	2358427	1758425	1310977	740431	517895	323490	191247	118203	
ECA2621	UNKNOWN		UNKNOWN	37658063	37217953	2097128	6.13456	36368271	1117205	71247	16724	8594	5103	3429	3185	3128	3249	3249	3135	3115	3106	3228	3127	2815	3446306	3032718	2492779	1942665	1524227	948473	669075	444448	274768	173063	
ECA2623	UNKNOWN		UNKNOWN	41036199	40934041	8543530	5.57551	39677014	1229339	59794	10635	4727	2777	2258	1955	2272	2288	2801	2340	2247	2150	2284	2486	2118	3565577	2979927	2311364	1718314	1247814	743892	503945	310862	188516	109154	
ECA2625	UNKNOWN		UNKNOWN	47653065	47591697	7786282	2.77532	46053385	1473881	76550	13209	6087	3426	2218	2117	1784	1719	2055	1655	973	1025	969	1002	877	4240492	3555785	2790696	2089621	1535684	936829	627998	391640	235379	134494	
ECA2626	UNKNOWN		UNKNOWN	36539289	36449957	2101110	9.00906	35329592	1046323	59933	13236	8037	7002	5571	5109	5190	4609	5427	4306	3605	3575	3766	4812	3122	3438773	3001581	2436387	1880019	1442453	895937	632200	409665	264373	162831	
ECA2636	UNKNOWN		UNKNOWN	84653972	84420364	4556683	7.73767	81783065	2499469	145638	32457	18973	14777	12021	11057	9782	9080	9333	8417	7853	7916	8096	9276	6670	7682746	6709589	5489207	4290905	3375560	2097073	1491192	975784	632756	377703	
ECA2637	UNKNOWN		UNKNOWN	35181786	35075373	6791740	3.91252	34002122	1075104	56005	10254	4585	3084	1814	1638	1619	1687	1938	1488	1252	1225	1280	1439	1026	3107235	2617697	2052248	1542482	1137200	668128	458577	285207	173030	100867	
ECA2639	UNKNOWN		UNKNOWN	31590526	31204416	1605028	4.09129	30535648	933512	56663	13768	6980	3775	2646	2277	1877	1944	1752	1805	1715	1671	1698	1750	1622	2903950	2562012	2120410	1673064	1317659	825132	575432	385780	241275	153190	
ECA2645	UNKNOWN		UNKNOWN	25691797	25617520	1375179	8.17635	24786515	784922	47475	10622	5887	4596	3883	3490	3403	3002	3395	2845	2513	2482	2636	3111	2112	2348159	2055179	1699179	1337567	1051886	664329	471449	310908	202583	120805	
ECA2647	UNKNOWN		UNKNOWN	52189174	51583121	5290606	2.61281	50296786	1667498	119937	38341	20118	9704	3842	1982	1789	1742	1631	1403	1419	1515	1636	1613	1391	4593207	3947860	3180728	2432346	1841888	1144742	787946	512810	317580	198946	
ECA2663	UNKNOWN		UNKNOWN	57757110	57602112	10255023	4.0266	55749559	1839016	95852	17944	8157	5580	3474	3187	2884	2726	3492	2489	1893	1557	1626	1778	1391	5033668	4157856	3217731	2388124	1705297	1062417	697841	431301	260151	146405	
ECA2664	UNKNOWN		UNKNOWN	33006529	32921992	6046068	4.30147	31889787	1017285	53874	9147	4151	2239	1785	1656	1565	1684	2463	1567	1109	1071	1224	1347	1077	2904724	2440560	1911527	1425717	1036692	624638	426687	265529	159856	91373	
ECA2666	UNKNOWN		UNKNOWN	27573248	27258369	1400605	6.86783	26596202	823169	59766	21120	12931	6847	3644	2466	2536	2592	2345	2417	2429	2359	2548	2604	2273	2548535	2227249	1811281	1391659	1064077	667594	464465	306240	194943	125552	
ECA2667	UNKNOWN		UNKNOWN	35626003	35570552	6233134	3.63214	34474993	1055057	53518	8983	3698	2194	1693	1254	1388	1301	1480	1174	1341	1240	1315	1374	1116	3084553	2582002	2006502	1491140	1085332	644924	443083	276447	168197	98576	
ECA2670	UNKNOWN		UNKNOWN	25471596	25216534	4115093	1.60505	24602953	795362	47100	9719	3872	1789	935	578	439	401	416	325	392	343	488	422	457	2215474	1869282	1466223	1091474	803871	481179	331604	210157	127040	76341	
ECA276	UNKNOWN		UNKNOWN	37487523	37284004	5183044	6.57183	36157089	1186996	68604	13773	5912	3956	3595	3578	3903	4103	4938	2895	1404	1373	1458	1529	1699	3331436	2849127	2229106	1664559	1237908	741979	505149	317518	198332	118170	
ECA278	UNKNOWN		UNKNOWN	29219960	29006985	3512479	3.41889	28209026	910092	55163	12302	5525	3231	2596	1580	1422	1307	1305	1205	1056	929	989	942	1010	2664565	2288227	1828638	1395449	1037465	625435	420020	257085	156364	91731	
ECA2808	UNKNOWN		UNKNOWN	33142995	33059516	4161864	3.09293	31997199	1052131	54907	9817	3750	2227	1532	1249	1117	1231	1471	1260	862	896	916	921	809	2959687	2461725	1915723	1430689	1036361	643248	425800	264823	158813	89820	
ECA287	UNKNOWN		UNKNOWN	32229669	32057115	3375821	2.38778	31121662	1016517	58089	11038	4375	2161	1545	1214	1210	1292	1418	931	499	519	513	477	479	2791596	2376303	1882440	1443206	1076564	657128	446837	280465	171384	102501	
ECA288	UNKNOWN		UNKNOWN	33514811	33408806	3805016	3.88202	32387858	1026513	54188	10961	5179	2929	2202	2105	2350	2337	2734	1525	631	716	785	829	877	2988913	2557055	2025656	1543087	1159523	697020	481274	302686	185594	108820	
ECA2883	UNKNOWN		UNKNOWN	24459303	24398902	3526016	1.90532	23631245	766853	40492	6945	2616	1388	984	778	732	714	774	520	306	270	295	281	295	2141280	1808071	1424604	1071510	778742	482646	325881	201956	120331	68387	
ECA2890	UNKNOWN		UNKNOWN	35640746	35560756	5285489	3.2358	34468489	1075621	55655	10023	4471	2766	1738	1510	1415	1430	1655	1213	802	851	836	821	895	3009737	2533478	1964008	1461402	1073135	636433	439417	276315	166344	98160	
ECA2894	UNKNOWN		UNKNOWN	29683277	29560582	5206843	3.96669	28688529	901443	46194	8656	3337	1984	1540	1351	1292	1270	1315	1175	1211	1250	1182	1387	1365	2585582	2187112	1732442	1317245	967040	594710	398033	247172	149555	85003	
ECA2975	UNKNOWN		UNKNOWN	166951080	165618182	5922772	5.98295	162427272	4009860	176594	31082	14268	11812	10802	11095	12252	13509	14320	14360	14829	14487	14607	14678	14031	14052332	12901435	10725630	8650118	7145355	4033301	3151084	2098012	1315167	843409	
ECA3091	UNKNOWN		UNKNOWN	58772605	58562830	6668443	3.94642	56918752	1685023	87036	17626	8854	5280	3998	4177	3341	3033	3637	2969	2315	2034	2055	2146	1807	5074107	4395321	3536243	2732046	2108929	1265869	910241	592543	366350	220255	
ECA343	UNKNOWN		UNKNOWN	30864739	30797474	3296944	2.28501	29808113	973675	54087	9595	4084	2231	1462	1096	1211	1121	1246	778	410	357	390	410	366	2653710	2251901	1764639	1323718	972993	591454	409242	258530	154385	89841	
ECA346	UNKNOWN		UNKNOWN	28810011	28758472	3671888	1.44171	27858015	882682	47165	8105	3240	1541	912	685	498	427	397	385	373	322	419	415	383	2371518	2019451	1589908	1207385	907248	537833	379263	241620	146507	88453	
ECA3502	UNKNOWN		UNKNOWN	100143600	99380056	16602414	3.27799	96936569	2913474	158434	26219	11263	5988	4744	3055	2909	2994	3931	3501	3277	3597	4038	5852	4399	8745939	7573320	6032259	4614223	3476485	2068933	1450772	915988	559436	337305	
ECA3503	UNKNOWN		UNKNOWN	98886918	98432532	14701542	4.71515	95724048	2863300	140499	25121	10630	6459	4981	5487	4651	5018	6585	5740	4393	4127	5090	6554	4913	8819924	7581608	6021361	4584771	3376648	2018966	1382212	865350	520803	300236	
ECA3509	UNKNOWN		UNKNOWN	126187547	125865210	24089208	2.80289	122166710	3708024	179596	30447	12247	6787	4626	3370	3653	3291	3553	4080	3694	3678	4529	6018	3898	11414319	9770251	7742334	5852681	4305654	2561588	1747178	1090813	659381	378959	
ECA3708	UNKNOWN		UNKNOWN	135048355	134687228	16788354	3.42317	130682527	4005299	199466	35161	15320	9157	5976	5405	4536	4524	4438	4321	4172	4155	4658	6172	4242	11860341	9916990	7717132	5707280	4090503	2502290	1676265	1041115	623371	357346	
ECA371	UNKNOWN		UNKNOWN	34434866	34334132	3892433	2.19194	33258474	1082385	57989	10506	4487	2610	1768	1351	1078	998	954	849	736	751	819	768	700	3162770	2708298	2164957	1657012	1234721	753687	513670	323117	196271	114386	
ECA3712	UNKNOWN		UNKNOWN	102167659	101510517	16945504	3.84334	99116641	2801525	130819	23676	11170	8883	5754	4679	4883	4398	4650	3851	3871	3568	3509	3673	3157	8478183	7207568	5660618	4263029	3192656	1875339	1313539	833349	503413	303048	
ECA3713	UNKNOWN		UNKNOWN	154472133	153821411	20620953	4.35915	149455675	4530096	230367	43579	21141	13719	9525	9103	8772	8931	13235	9761	5851	5575	6161	6559	5688	14248320	12249219	9768796	7426648	5491387	3351725	2284033	1437210	859041	491075	
ECA3899	UNKNOWN		UNKNOWN	64705084	64503303	4243572	3.60185	62516507	1980488	100784	17939	7840	5499	3229	2963	2643	2519	3326	2659	2398	2455	2771	3809	2920	5892947	5023931	4056923	3157825	2364307	1460881	966381	597121	359468	195804	
ECA569	UNKNOWN		UNKNOWN	31113511	30928388	3350107	3.60248	30077234	942450	54452	10571	4531	2857	2354	1587	1306	1131	1310	1287	1246	1063	1088	1131	738	2662962	2272584	1788071	1353239	1005645	591588	415228	259537	161474	99243	
ED3032	UNKNOWN		UNKNOWN	28348788	28262714	4969033	4.48068	27411248	855391	43305	7467	3199	2329	1645	1684	1406	1328	1319	1255	1257	1271	1231	1225	1031	2429220	2038692	1595552	1197945	876880	528295	357302	223982	134886	79323	
ED3037	UNKNOWN		UNKNOWN	64953196	64784771	9960366	3.92793	62775288	1980396	102578	18424	8459	7693	3677	3109	3130	3238	3184	2877	2968	2852	2729	2863	2588	6145511	5246571	4129220	3103285	2258883	1381234	923942	568204	336796	193548	
ED3088	UNKNOWN		UNKNOWN	49263855	49156442	7827916	3.99303	47629110	1501311	77341	14312	6013	3429	3157	2765	3044	3447	4792	2319	1024	983	995	1022	788	4264671	3611358	2843429	2149990	1609303	958138	658111	413903	250919	144778	
ED3102	UNKNOWN		UNKNOWN	80944903	80409342	18129035	4.66128	78254588	2458213	126488	23170	9362	5520	4673	3721	3596	3861	6602	3672	2245	2374	2705	3069	2151	6820315	5588754	4263971	3092079	2202659	1327708	887401	542490	331368	195791	
EG4360	UNKNOWN		UNKNOWN	79806538	79192084	15050281	2.12857	77146551	2447354	129156	21946	7945	4743	4840	2544	1890	1844	2342	2672	1691	1425	1544	1391	1428	7477969	6265697	4915833	3668402	2609722	1658994	1071515	655286	394154	224783	
EG5612	UNKNOWN		UNKNOWN	65854262	65637753	11376092	3.38404	63608419	2053454	108524	24271	7640	4599	3118	2400	2579	2870	4306	2834	1910	1619	1636	1740	1453	6191917	5149897	4003819	2930836	2048483	1291110	833479	500901	296221	167612	
EG5613	UNKNOWN		UNKNOWN	27094913	27037666	3244452	3.38601	26203621	816572	42668	7505	3253	1872	1271	1169	1117	1065	1196	960	700	708	729	769	824	2273529	1918431	1496194	1118364	827308	493197	338937	214322	130537	76550	
EG6179	UNKNOWN		UNKNOWN	40984076	40913845	5234508	3.12909	39607247	1264514	66910	12167	5616	3340	2638	1892	1770	1527	1637	1437	1504	1362	1383	1273	943	3709459	3185773	2519735	1923275	1425082	853281	588049	366423	225466	132206	
EG6260	UNKNOWN		UNKNOWN	62144805	61023381	9126690	4.28324	59998056	1948839	101155	19299	8765	4832	3811	3335	3468	3570	4629	3227	2453	2386	2561	2836	2537	5817249	4889627	3876000	2934835	2129683	1373922	899647	551402	326713	179156	
EG6261	UNKNOWN		UNKNOWN	74981783	74685155	13131657	4.1986	72410536	2353213	121983	21352	8730	5460	4164	3666	3934	4514	7762	4400	1675	1839	2213	2255	1767	7060266	5873507	4594236	3397324	2400081	1522676	987601	605636	357178	196064	
EG6265	UNKNOWN		UNKNOWN	65163061	62592625	8511455	3.2396	62854934	2106959	120121	21612	9540	5442	3961	3084	2577	2390	2364	2079	1994	1980	2111	2366	1698	5582890	4643364	3666780	2765900	2032075	1351221	945683	658717	482279	379750	
EG6267	UNKNOWN		UNKNOWN	50665400	49794236	6955674	4.68008	48926164	1581049	81146	14456	6392	5547	3350	2838	2793	2866	3574	2753	2125	2195	2156	2281	1980	4543381	3772684	2958194	2210060	1593729	1050033	722337	467744	291160	165702	
EG6268	UNKNOWN		UNKNOWN	1	1	0	UNKNOWN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
EG6271	UNKNOWN		UNKNOWN	68001994	67725463	10104132	4.09236	65682804	2122302	109718	19196	8991	5128	3814	3935	3143	3279	4868	3062	1817	2054	2129	2085	1682	6200694	5114779	3957406	2897534	2038498	1279824	840311	520193	314669	176302	
EG6272	UNKNOWN		UNKNOWN	69265442	68833010	10073654	2.47678	66900820	2171811	118219	20157	8558	4571	3127	2039	2249	2217	2790	2135	1303	1323	1426	1572	1454	6434070	5367579	4185931	3101608	2209329	1407846	947137	590724	359522	207418	
EG6274	UNKNOWN		UNKNOWN	57595994	57257807	7796374	4.06436	55611427	1817455	95984	16298	7303	4760	3152	2999	2777	2906	4323	2714	1593	1439	1581	1570	1440	5120860	4219990	3269528	2407303	1695280	1084715	720751	452237	274282	153413	
EG6275	UNKNOWN		UNKNOWN	66308479	66007227	9147526	5.41052	64001934	2091541	110552	19807	9273	6716	5000	4889	4461	4835	7531	4595	2374	2384	2410	2485	2282	6000513	4991628	3923374	2923583	2091343	1330379	872873	544171	328466	181324	
