Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
BRC20228	UNKNOWN		UNKNOWN	33225309	26677595	2738105	1.33395	32163492	982856	50404	8768	3427	1882	1321	951	946	953	1050	878	664	692	696	685	450	2504638	2182513	1840422	1584469	1489876	1400423	1472119	1375904	1081335	679370	
BRC20229	UNKNOWN		UNKNOWN	35671805	35475562	3856654	2.00007	34438650	1133053	62937	11764	5301	3032	2105	1385	938	819	831	637	704	687	568	568	580	3179422	2651060	2088368	1575305	1146151	721523	476681	296238	173940	100007	
BRC20230	UNKNOWN		UNKNOWN	34818418	34657656	4482778	3.16495	33744834	986835	49464	8679	3384	1765	1310	1035	962	939	1037	905	810	894	1035	1249	1348	2806257	2361423	1810524	1348725	999139	563023	389156	242196	143188	87214	
BRC20232	UNKNOWN		UNKNOWN	29689020	29522772	3356195	3.17087	28714070	893508	45636	8806	3440	2114	1684	1431	1275	1187	1368	1003	698	664	688	780	882	2544354	2149482	1689180	1279941	953311	569603	392491	243555	145832	85768	
BRC20238	UNKNOWN		UNKNOWN	38536406	38301855	5846688	6.36855	37176052	1221821	65575	12218	5523	3897	3711	3408	3283	3645	5225	3488	1695	1535	1457	1581	1600	3559895	2959075	2319462	1738607	1248170	797728	509513	313435	188534	108577	
BRC20239	UNKNOWN		UNKNOWN	37966762	37740842	4386767	2.24964	36678848	1184677	64384	11956	5701	2843	2002	1430	1106	1145	1024	880	870	887	783	820	691	3388788	2870381	2276458	1738017	1278014	795375	539558	338299	203197	119288	
BRC20241	UNKNOWN		UNKNOWN	31687029	31564145	3489695	5.13861	30596168	988566	51127	9104	4215	2750	2314	2057	1914	1816	1932	1834	1496	1514	1637	1462	1246	2781247	2312835	1803657	1347730	982225	610513	401094	249198	152883	87499	
BRC20242	UNKNOWN		UNKNOWN	36934108	36878988	4621153	2.55412	35699465	1131327	61994	11112	4430	2567	1629	1334	1366	1224	1229	1154	1070	994	955	1056	925	3441494	2972861	2363951	1796208	1336569	806341	561508	350463	213648	125314	
BRC20244	UNKNOWN		UNKNOWN	39629027	39367602	5232142	4.63425	38244762	1254511	67043	11915	5656	3308	2660	2272	2138	2153	2405	2119	1680	1796	1948	2037	1682	3669859	3066873	2399344	1799222	1293098	819971	532671	331278	200870	117071	
BRC20246	UNKNOWN		UNKNOWN	29349726	29107018	3822476	5.94001	28314486	930747	51202	9506	4250	2926	2417	2276	2267	2339	3447	2411	1222	1216	1263	1258	1155	2660845	2218987	1734840	1297874	938660	597774	392880	249062	150483	86898	
BRC20257	UNKNOWN		UNKNOWN	41200156	40899837	6787315	2.52401	39798195	1288848	68996	11678	4626	2360	1614	1160	1076	1020	1043	979	1046	1012	1218	1524	1187	3656933	3091537	2432282	1823490	1336241	824177	573908	365206	223284	132452	
BRC20260	UNKNOWN		UNKNOWN	39716194	39517941	4613936	5.44827	38420883	1166587	56790	10119	4288	3218	2803	2698	2486	2601	2849	2660	2513	2418	2720	2643	2300	3720013	3210403	2540002	1930481	1437377	862676	597321	373700	228480	135292	
BRC20270	UNKNOWN		UNKNOWN	36388965	36206317	5255811	2.63245	35147026	1139084	62418	11066	4568	2382	1594	1135	1130	1046	1218	1054	884	782	910	1029	1003	3203786	2703733	2115844	1586061	1161819	712114	477349	298994	179381	105045	
BRC20272	UNKNOWN		UNKNOWN	27397583	27251261	4010277	2.46686	26501641	824421	43278	7526	3382	1847	1056	797	693	605	621	619	734	703	674	900	653	2361256	1994750	1557871	1167050	856095	517280	349771	220609	132634	77455	
BRC20289	UNKNOWN		UNKNOWN	37077294	36874689	4992519	3.45754	35722179	1233275	71944	13181	4913	2985	1851	1447	1284	1222	1262	1287	1202	1307	1363	1797	1341	3310908	2745235	2150709	1608984	1150259	741430	481584	300654	178763	102228	
BRC20290	UNKNOWN		UNKNOWN	20345788	20226175	2555503	4.22693	19685217	603330	30562	5244	2218	1549	963	870	790	880	943	853	790	815	858	1038	952	1698266	1433103	1122575	841956	630384	376112	259237	162323	98579	59214	
BRC20294	UNKNOWN		UNKNOWN	56677612	56541177	4155419	6.25651	54750845	1752199	85758	15161	6994	5283	4323	4089	3641	3922	3763	3759	2906	2932	2886	2696	2489	5013542	4072970	3115603	2262046	1578778	980813	620272	372249	220852	121578	
BRC20308	UNKNOWN		UNKNOWN	52017661	51597231	4045550	5.31828	50250773	1599562	85324	15329	10470	5303	3619	3033	2744	2753	2651	2595	2508	2432	2556	2719	2533	4625110	3782776	2903021	2103185	1483253	930902	603329	368938	216781	124394	
BRC20309	UNKNOWN		UNKNOWN	67791642	67210841	5382054	7.13953	65439190	2101530	110525	21263	15966	7898	5188	4824	4466	4552	4646	4626	4606	4707	4665	4942	4574	6114932	4985577	3811303	2758335	1937462	1222550	785362	478150	277598	156930	
BRC20311	UNKNOWN		UNKNOWN	57190349	56787193	4213246	9.20673	55226689	1739667	89177	15693	7857	5910	5533	4918	4857	4947	5133	5038	5361	5065	5592	5919	5319	5129150	4217527	3246546	2368840	1693064	1048753	681271	412175	245146	145385	
BRC20312	UNKNOWN		UNKNOWN	75846814	75157408	5650242	4.92685	73155596	2441016	132309	24591	12808	7657	5312	4192	3816	3467	3725	3573	3535	3513	3688	3786	3534	6702197	5492415	4237000	3117436	2225184	1393228	895692	543948	319649	178446	
BRC20315	UNKNOWN		UNKNOWN	75246915	74575076	5816145	5.86533	72654945	2339394	126218	22219	11272	6947	5800	4545	4469	4610	4342	4306	4320	4184	4281	4537	4146	6891667	5658579	4339829	3146748	2219176	1390630	902681	555009	330354	191417	
BRC20320	UNKNOWN		UNKNOWN	28667329	28497393	3140174	3.06434	27718738	868958	45379	8658	4028	2158	1339	982	907	914	928	842	930	853	916	1128	963	2464406	2085876	1638969	1242433	922663	556363	381936	241783	145935	85286	
