strain	TELOMERE_LENGTH
QG4012	17.7766
QG4015	14.8161
QG4017	17.3027
QG4018	14.5212
QG4021	13.2693
QG4080	13.4358
QG4135	16.4074
QG4138	13.7588
QG4147	11.7389
QG4151	13.6306
QG4193	12.1431
QG4226	14.1868
QG4228	12.8805
QG536	10.5503
QG556	54.7393
QG557	44.5302
QW947	8.17427
QX1212	44.0554
QX1233	20.9516
QX1792	20.4005
QX1794	34.2933
RC301	51.7609
TWN2530	11.7163
TWN2542	12.9694
WN2001	11.8848
WN2002	10.8734
WN2033	16.5697
WN2050	8.9188
WN2063	10.3737
WN2064	6.65475
WN2066	9.61297
WN2068	14.6514
WN2069	10.342
WN2082	10.3223
WN2086	9.44647
WN2107	10.0187
WN2117	11.0834
XZ1672	20.6806
XZ1734	10.2848
XZ1735	9.35894
XZ1756	10.4478
XZ2018	12.9989
XZ2020	28.5846
