Strain	ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
ECA1185	UNKNOWN		UNKNOWN	34702023	34176864	5980604	10.9784	33542325	998525	48990	21643	16665	11767	9972	7646	6534	4907	3248	2313	1668	1285	1139	1107	1040	2455326	2016321	1566095	1148781	841109	520759	350611	218494	132499	79139	
ECA1186	UNKNOWN		UNKNOWN	33922996	33408423	5926822	12.4964	32771454	981793	47345	21431	15855	11913	9973	7860	6263	4770	3433	2363	1905	1473	1329	1363	1370	2292936	1860428	1439179	1051284	768971	475568	315544	196670	121037	72194	
ECA1187	UNKNOWN		UNKNOWN	44241619	43919911	7869201	11.658	42721027	1293446	70348	31048	22064	16141	14092	11130	9235	7110	4621	3400	2669	1943	1716	1607	1695	3388327	2793161	2177464	1592004	1145196	728502	481428	298183	183292	113482	
ECA1191	UNKNOWN		UNKNOWN	28535349	28170611	4545588	11.4696	27596310	810393	41001	17597	12724	9376	7904	6026	4748	3681	2474	1847	1370	985	780	803	745	1889009	1527507	1161103	840821	612168	377887	263848	171327	108690	67747	
ECA1192	UNKNOWN		UNKNOWN	44692317	44313969	7630293	11.6031	43137661	1334571	70321	30993	22982	16910	14654	11208	9330	6810	4754	3336	2489	1972	1578	1343	1330	3341674	2746059	2137222	1562434	1118865	722984	476485	298278	181016	111718	
ECA1193	UNKNOWN		UNKNOWN	30504265	29411592	4780156	11.0096	29492070	876125	43080	18519	13696	9800	8746	6376	5148	3896	2526	1920	1375	1064	811	795	798	2053030	1660393	1270324	920637	666375	420000	281793	175260	107297	66111	
ECA1194	UNKNOWN		UNKNOWN	24739017	24539065	3969181	12.5011	23897054	719942	35873	15711	11766	8237	7146	5502	4690	3314	2307	1787	1333	1089	955	906	971	1669768	1358152	1041980	755174	546421	338517	225211	141382	87566	53464	
ECA1195	UNKNOWN		UNKNOWN	39573624	36716793	6338609	11.6347	38259392	1135825	54365	23740	17482	12373	11015	8191	6701	4964	3443	2563	1948	1513	1192	1250	1186	2666646	2127478	1610251	1165531	837136	533785	359006	228510	150436	109345	
ECA1196	UNKNOWN		UNKNOWN	17370229	17223405	2709221	12.0609	16762345	521098	26850	12211	9027	6281	5707	4093	3541	2514	1684	1405	1130	811	637	626	597	1226445	1005206	782997	576447	417598	266212	172938	107302	65222	39579	
ECA1200	UNKNOWN		UNKNOWN	36898092	36546474	6441384	13.4911	35592920	1106435	54939	24435	17418	13211	10986	8610	7173	5657	4229	3334	2499	2415	2110	2086	2182	2590963	2114090	1642244	1208327	874374	571408	381827	241367	150769	92106	
ECA1202	UNKNOWN		UNKNOWN	34649262	33824826	5548816	11.1177	33430542	1047593	54081	23554	18129	12825	11180	8529	6952	5260	3610	2576	1838	1480	1306	1226	1174	2435896	1998803	1572902	1173773	876383	601821	429298	289806	187631	114580	
ECA1206	UNKNOWN		UNKNOWN	39158558	37476615	6716892	10.5526	37792856	1163217	59097	26112	18958	14536	12051	9492	7661	5843	4241	3213	2542	2150	1885	1736	1885	2737480	2263388	1798590	1378051	1077664	786901	597789	425687	283053	171461	
ECA1208	UNKNOWN		UNKNOWN	32738233	32382041	5137869	12.7644	31618611	946975	47701	21295	15214	10997	9631	7176	5744	4222	3200	2435	2102	1735	1456	1434	1544	2259020	1827387	1399384	1017234	728509	448906	298545	185017	112933	69449	
ECA1212	UNKNOWN		UNKNOWN	41482102	40654734	6535438	10.9512	40112112	1175501	54497	24661	18161	13758	11494	8734	7298	5457	3719	2837	2071	1706	1521	1488	1687	2872037	2340226	1805096	1327359	980786	633359	452783	299615	190592	116856	
ECA1216	UNKNOWN		UNKNOWN	37917586	37595623	5932064	10.9099	36663872	1087093	51975	22957	17447	12393	10284	8169	6208	4646	3115	2175	1798	1276	1030	1030	1065	2610321	2120712	1623268	1177829	841790	511990	344018	215819	130758	81668	
ECA1223	UNKNOWN		UNKNOWN	47194065	45914189	7578095	10.7758	45648439	1321990	60431	26555	20374	14709	12541	9747	7696	5581	4131	3208	2536	2068	2019	2138	2108	3249028	2650058	2050075	1517067	1127679	724500	508005	327033	200444	120455	
ECA1225	UNKNOWN		UNKNOWN	23188311	22611449	3792224	10.5468	22411054	672066	32389	14423	10651	8115	6594	5109	4012	3033	2044	1493	1127	821	705	669	766	1581998	1292610	999511	739428	549742	358037	253914	167025	105222	65164	
ECA1228	UNKNOWN		UNKNOWN	23185197	22987342	3576824	11.2881	22399541	680219	35324	15679	11084	8128	6933	5257	4163	2951	2021	1430	977	662	563	452	513	1565122	1271735	970791	703272	503394	310899	208875	132175	80165	50539	
ECA1229	UNKNOWN		UNKNOWN	40494749	40000295	7209022	10.527	39160062	1166664	55576	24753	18205	13300	11416	8486	6691	5035	3271	2417	1405	1029	962	776	791	2765267	2232235	1701526	1226663	877707	541450	362101	227125	137946	83044	
ECA1232	UNKNOWN		UNKNOWN	29905356	29600701	4818858	12.5799	28906215	852554	43312	19271	13986	10391	8729	6364	5603	3903	2896	2130	1583	1293	1185	1157	1181	1986996	1626861	1245572	901105	653386	396893	273598	174902	108104	68475	
ECA1237	UNKNOWN		UNKNOWN	39935978	39648285	6829137	11.1824	38600775	1157503	55730	23798	17576	12862	11054	8361	6520	5043	3299	2644	1886	1437	1204	1085	1104	2706397	2178255	1670365	1211720	873201	537236	355317	222846	135335	80632	
ECA1238	UNKNOWN		UNKNOWN	56625247	56193075	8602734	12.1407	54746809	1616569	81928	37093	26731	18911	16227	12764	10392	7571	5115	3508	2564	2197	1773	1617	1629	3800507	3095024	2360920	1700617	1223205	735639	496421	309309	190945	117604	
ECA1240	UNKNOWN		UNKNOWN	34471945	34211696	5820762	12.4603	33301830	993832	52012	23322	16801	12199	10596	8113	6468	4887	3357	2437	1858	1604	1336	1246	1275	2375770	1949779	1496965	1085682	785241	480465	324945	204920	126176	78505	
ECA1242	UNKNOWN		UNKNOWN	21444125	21262745	3406327	10.7142	20719366	626955	31960	14183	10654	7352	6310	4533	3642	2705	1905	1373	1006	708	546	439	474	1448002	1186878	915165	666936	484664	298333	201512	125108	77018	47755	
ECA1243	UNKNOWN		UNKNOWN	25644401	25485662	4143850	12.2159	24759824	759372	37010	16740	12125	9481	7599	5777	4598	3503	2583	1895	1445	1285	1046	891	888	1737759	1409781	1093499	803505	582094	365385	240915	148989	90532	55371	
ECA1247	UNKNOWN		UNKNOWN	40875997	40517641	7364885	14.4198	39484471	1175618	58692	26663	19165	13842	12112	9541	8009	5839	4031	3286	2566	2042	1922	1904	2169	2761177	2224105	1684909	1212380	861505	525199	354130	221901	135588	84215	
ECA1251	UNKNOWN		UNKNOWN	24719647	24378956	3777947	12.8005	23877879	712504	36631	16425	12148	8533	7437	5697	4676	3630	2531	1922	1501	1273	1045	1073	1124	1656029	1358410	1052818	770413	567733	357692	250559	161581	102043	63364	
ECA1252	UNKNOWN		UNKNOWN	42807505	42374376	7552273	13.2804	41323507	1261330	66668	29161	21204	14834	13092	10067	8494	6490	4557	3507	2819	2336	2071	2062	2009	2978996	2427741	1874756	1368668	986047	632724	424080	269275	166214	101359	
ECA1253	UNKNOWN		UNKNOWN	41704802	41285254	6651985	11.2742	40316986	1175341	61856	28076	21115	15385	13776	10597	8836	6269	4228	3098	2334	1833	1590	1509	1470	3255481	2694278	2083885	1531059	1112442	680694	462832	291876	180022	110915	
ECA1255	UNKNOWN		UNKNOWN	38019858	37241618	6017532	12.4824	36737594	1089260	51987	23311	16265	12471	10526	8079	6620	5098	3810	2860	2308	2217	1706	1874	1869	2508897	2028756	1564046	1151796	852520	560640	403562	270054	174186	107532	
