Strain	LENGTH_ESTIMATE
ECA928	25.3666
ECA930	19.8542
ED3005	9.25982
ED3011	52.312
ED3012	31.2635
ED3017	18.715
ED3040	10.3531
ED3046	17.7966
ED3048	14.4177
ED3049	40.6747
ED3052	6.1329
ED3073	12.353
ED3077	9.86393
EG4347	22.5561
EG4349	7.25616
EG4724	27.2113
EG4725	15.038
EG4946	18.2082
GXW1	8.77289
HPT48	14.2734
JR4305	16.1622
JT11398	38.707
JU1088	19.6503
JU1172	22.1452
JU1200	16.9769
JU1212	12.4191
JU1213	12.6764
JU1242	9.22731
JU1246	10.2096
JU1249	12.438
JU1256	7.87268
JU1395	10.9748
JU1400	6.28331
JU1409	14.3814
JU1440	7.8476
JU1491	10.0172
JU1530	17.0396
JU1543	14.9619
JU1568	12.6199
JU1581	13.7845
JU1586	15.9462
JU1652	18.6843
JU1666	6.04706
JU1792	9.34014
JU1793	9.28984
JU1808	11.2778
JU1896	14.7048
JU1934	7.52799
JU2001	8.37427
JU2007	5.3482
JU2016	14.2783
JU2017	5.70507
JU2106	6.79533
JU2131	8.01899
JU2141	6.64379
JU2234	17.0104
JU2250	3.62024
JU2257	6.98901
JU2316	5.26374
JU2464	13.945
JU2466	9.40509
JU2478	15.9448
JU2513	7.59349
JU2519	7.66367
JU2522	9.78686
JU2526	5.74393
JU2534	24.1996
JU2565	15.2575
JU2566	10.1708
JU2570	5.78121
JU2572	15.3933
JU2575	4.85453
JU2576	31.546
JU2578	6.26007
JU2581	9.6181
JU258	28.9108
JU2586	19.7486
JU2587	20.0364
JU2592	15.0065
JU2593	11.9664
JU2600	13.923
JU2610	11.1242
JU2619	5.01963
JU2771	10.452
JU2800	5.07574
JU2811	8.17152
JU2825	15.474
JU2829	4.61478
JU2838	6.21924
JU2841	5.03016
JU2853	8.44483
JU2862	7.26444
JU2866	7.96454
JU2878	9.43078
JU2879	6.51166
JU2906	13.453
JU2907	10.4491
JU310	6.75886
JU311	8.07469
JU3125	11.8793
JU3127	14.2667
JU3128	10.0148
JU3132	8.20751
JU3134	14.7625
JU3135	11.0092
JU3137	22.2027
JU3140	8.60908
JU3141	10.3604
JU3144	10.0227
JU3166	4.79686
JU3167	4.71381
JU3169	4.21516
JU3224	10.7758
JU3225	12.5131
JU3226	17.0768
JU3228	17.2646
JU323	7.37528
JU3280	10.4514
JU3282	8.18857
JU3291	9.69542
JU3318	14.6093
JU346	21.553
JU360	20.5503
JU367	8.09491
JU3795	11.6553
JU393	10.5171
JU394	20.6049
JU397	9.44324
JU4047	9.46884
JU406	8.79729
JU4073	13.288
JU4082	9.96027
JU4098	14.2369
JU4161	11.162
JU4286	6.84715
JU4287	6.155
JU4370	8.86282
JU4377	9.04866
JU4381	4.9153
JU4382	8.41686
JU4383	8.70304
JU4384	9.47622
JU4385	9.08859
JU4400	9.18065
JU4401	8.9309
JU440	8.64918
JU561	10.4629
JU642	8.22493
JU751	11.7783
JU774	9.18529
JU775	42.2036
JU778	15.3569
JU782	10.5696
JU792	7.67936
JU830	15.2659
JU847	27.611
KR314	46.0697
LKC34	24.4131
LUA56	12.5772
LUA57	14.3382
LUA59	10.5954
LUA93	10.4164
MY10	11.7368
MY1	17.7314
MY16	29.9488
MY18	11.4203
MY2147	12.7576
MY2212	15.0648
MY23	37.6132
MY2453	10.9129
MY2530	8.75025
MY2535	11.4781
MY2573	10.3929
MY2585	28.8961
MY2693	12.8106
MY2713	14.0462
MY2741	11.5685
MY518	56.9762
MY679	13.0383
MY772	8.57059
MY795	12.4818
MY920	8.11083
N2	18.6168
NIC1049	5.40671
NIC1107	9.3925
NIC1119	8.19154
NIC1	16.4022
NIC166	18.301
NIC1698	8.82426
NIC1700	10.5556
NIC1772	10.2984
NIC1773	9.77341
NIC1775	10.2786
NIC1779	17.2764
NIC1780	16.9171
NIC1782	12.5117
NIC1783	13.1099
NIC1785	14.1717
NIC1786	12.1827
NIC1787	10.9291
NIC1788	11.9584
NIC1789	14.1157
NIC1790	11.2182
NIC1791	9.12198
NIC1792	11.4215
NIC1794	13.5042
NIC1796	13.9317
NIC1798	14.7201
NIC1799	11.2914
NIC1801	12.2125
NIC1802	13.4073
NIC1805	20.3043
NIC1806	12.8442
NIC1808	19.2694
NIC1809	11.3275
NIC1810	15.0033
NIC1811	11.848
NIC1812	11.4425
NIC1832	17.7018
NIC195	24.0167
NIC199	13.9364
NIC2021	10.5155
NIC2076	10.5157
NIC207	88.064
NIC2088	6.85178
NIC2099	7.42737
NIC2102	6.03803
NIC2115	7.55154
NIC2117	7.61941
NIC2118	6.78518
NIC2120	7.49571
NIC2126	5.93132
NIC2127	6.73444
NIC2129	8.3023
NIC2131	7.68132
NIC2	13.4431
NIC231	10.6164
NIC236	9.7062
NIC242	16.2553
NIC251	13.2766
NIC2524	9.61928
NIC252	8.34892
NIC2534	10.1841
NIC255	30.4588
NIC2553	10.6298
NIC2555	9.46979
NIC2557	10.7125
NIC2558	9.98182
NIC2559	9.34745
NIC2560	9.51379
NIC256	12.4244
NIC2561	9.81498
NIC2562	9.32581
NIC2564	10.56
NIC2566	13.3734
NIC2567	9.68683
NIC2568	9.8097
NIC2569	10.3222
NIC2570	12.8114
NIC2573	10.4997
NIC2574	14.2143
NIC2576	9.83445
NIC258	15.9016
NIC259	14.9539
NIC260	9.56472
NIC261	14.009
NIC262	30.0136
NIC265	7.78968
NIC266	28.2543
NIC267	7.27339
NIC268	11.2911
NIC269	13.8232
NIC271	15.411
NIC272	8.79651
NIC274	3.5909
NIC275	18.2365
NIC276	8.04549
NIC277	11.3413
NIC3	4.31762
NIC501	6.28497
NIC511	6.60629
NIC513	8.36841
NIC514	22.8705
NIC515	17.317
NIC522	18.4655
NIC523	5.79622
NIC526	24.5388
NIC527	9.22272
NIC528	7.43844
NIC529	10.0533
OAR137	9.21744
PB303	46.6034
PS2025	10.8557
PX179	12.6156
QG2075	15.927
QG2811	10.3377
QG2813	9.32024
QG2818	8.85087
QG2823	27.2279
QG2824	9.33088
QG2825	9.51946
QG2827	9.19969
QG2828	9.37095
QG2832	9.72231
QG2835	9.69674
QG2836	9.0317
QG2837	10.3411
QG2838	11.0968
QG2841	9.52927
QG2843	9.83141
QG2846	8.86787
QG2850	8.78795
QG2854	9.19288
QG2855	9.02968
QG2857	8.56479
QG2873	10.5914
QG2874	10.8591
QG2875	8.89774
QG2877	9.09894
QG2932	9.61608
QG4003	12.5711
QG4004	13.0866
QG4006	14.2741
QG4008	12.8098
QG4010	17.0993
QG4012	17.7766
QG4015	14.8161
QG4017	17.3027
QG4018	14.5212
QG4021	13.2693
QG4080	13.4358
QG4103	17.7345
QG4135	16.4074
QG4138	13.7588
QG4147	11.7389
QG4151	13.6306
QG4193	12.1431
QG4226	14.1868
QG4228	12.8805
QG536	10.5503
QG556	54.7393
QG557	44.5302
QW947	8.17427
QX1211	33.7222
QX1212	44.0554
QX1233	20.9516
QX1791	7.95903
QX1792	20.4005
QX1793	13.7983
QX1794	34.2933
RC301	51.7609
TWN2530	11.7163
TWN2542	12.9694
VJV2	8.64996
WN2001	11.8848
WN2002	10.8734
WN2033	16.5697
WN2050	8.9188
WN2063	10.3737
WN2064	6.65475
WN2066	9.61297
WN2068	14.6514
WN2069	10.342
WN2082	10.3223
WN2086	9.44647
WN2107	10.0187
WN2109	11.6507
WN2117	11.0834
WN2130	5.9526
WN2136	7.38483
WN2151	9.09916
WN2164	8.86286
WN2200	8.50405
WN2204	8.63914
